epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.8246,2.7911,3.93177,2.15926,0.00514,0.04804,0.00282,0.00071,2.47265,3.6586,1.74735,8.335e-05,8.335e-05,8.335e-05
2,28.6678,2.58133,3.67559,1.81595,0.01826,0.16474,0.02224,0.00663,2.42146,3.56852,1.62941,0.000175806,0.000175806,0.000175806
3,38.612,2.46053,3.29555,1.6739,0.01759,0.15166,0.02062,0.00504,2.25157,3.50622,1.57738,0.00026001,0.00026001,0.00026001
4,49.63,2.342,2.82126,1.51125,0.02902,0.2372,0.04553,0.01063,2.16171,3.32953,1.50151,0.000335963,0.000335963,0.000335963
5,64.2464,2.23557,2.47192,1.46849,0.06676,0.60066,0.20914,0.07908,2.15191,3.0406,1.41304,0.000403664,0.000403664,0.000403664
6,78.3752,2.25004,2.25309,1.38279,0.37693,0.30401,0.24379,0.10398,2.16128,3.0261,1.47067,0.000463113,0.000463113,0.000463113
7,93.2556,2.12333,2.07808,1.33239,0.62039,0.08936,0.1633,0.07026,2.27239,3.39052,1.68471,0.000514311,0.000514311,0.000514311
8,113.034,2.1079,1.94631,1.32729,0.58394,0.0974,0.16154,0.06703,2.24504,3.36237,1.65065,0.000557257,0.000557257,0.000557257
9,134.585,2.06533,1.78568,1.3161,0.50748,0.10833,0.14966,0.06012,2.27258,3.37487,1.66123,0.000591952,0.000591952,0.000591952
10,156.313,2.03792,1.76464,1.32724,0.50863,0.31749,0.33649,0.1516,2.14123,2.73589,1.45531,0.000618394,0.000618394,0.000618394
11,177.463,2.03799,1.74506,1.34969,0.53779,0.34441,0.35799,0.15418,2.17035,2.69268,1.47328,0.000636586,0.000636586,0.000636586
12,198.8,1.9852,1.67282,1.32631,0.52843,0.3314,0.32682,0.1257,2.26458,2.73765,1.55933,0.000646525,0.000646525,0.000646525
13,220.438,2.12968,1.67195,1.35589,0.60471,0.33181,0.34872,0.14427,2.17136,2.40648,1.47145,0.000648213,0.000648213,0.000648213
14,242.524,2.04126,1.6795,1.34749,0.63599,0.38143,0.40918,0.2002,1.9007,1.85541,1.29678,0.000641649,0.000641649,0.000641649
15,264.553,2.02175,1.9614,1.34794,0.64925,0.52273,0.55899,0.26566,1.9007,1.85541,1.29678,0.000626834,0.000626834,0.000626834
16,289.182,2.01608,1.88524,1.35392,0.51611,0.29699,0.30469,0.15546,1.83976,1.61348,1.27222,0.000603767,0.000603767,0.000603767
17,313.469,1.96528,1.85204,1.33684,0.50798,0.27808,0.2787,0.14455,1.81249,1.53381,1.27662,0.00056678,0.00056678,0.00056678
18,340.978,1.97041,1.81898,1.33276,0.54103,0.31702,0.3082,0.15665,1.83744,1.54021,1.3093,0.000498016,0.000498016,0.000498016
19,363.302,1.86614,1.73431,1.31417,0.6139,0.60776,0.58114,0.27224,1.83744,1.54021,1.3093,0.000429253,0.000429253,0.000429253
20,389.746,1.89733,1.68169,1.3117,0.53837,0.30242,0.30014,0.15508,1.80215,1.50354,1.30704,0.000360489,0.000360489,0.000360489
21,414.399,1.86029,1.65992,1.30512,0.50768,0.29043,0.29315,0.15367,1.7503,1.47662,1.29022,0.000291725,0.000291725,0.000291725
22,437.202,1.78455,1.62637,1.27643,0.54693,0.28021,0.29978,0.15821,1.72832,1.46252,1.27809,0.000222961,0.000222961,0.000222961
23,460.198,1.77687,1.58881,1.26782,0.66995,0.55116,0.59819,0.29973,1.72832,1.46252,1.27809,0.000154198,0.000154198,0.000154198
24,483.827,1.80765,1.59032,1.27976,0.55187,0.27377,0.29886,0.15973,1.72051,1.4574,1.27271,8.54337e-05,8.54337e-05,8.54337e-05
